MeasureName,BankType,MonthYear,M_Value,TransType
Cards_Account,Bank,DEC 2015,1.78,e-Money
Cards_Account,Non-bank,DEC 2015,29.29,e-Money
Topup_Value,Bank,DEC 2015,548.38,e-Money
Topup_Value,Non-bank,DEC 2015,6313.56,e-Money
Spending_Value,Bank,DEC 2015,534.8,e-Money
Spending_Value,Non-bank,DEC 2015,6023.25,e-Money
Cards_Account,Bank,JAN 2016,1.84,e-Money
Cards_Account,Non-bank,JAN 2016,29.67,e-Money
Topup_Value,Bank,JAN 2016,509.45,e-Money
Topup_Value,Non-bank,JAN 2016,5863.42,e-Money
Spending_Value,Bank,JAN 2016,511.65,e-Money
Spending_Value,Non-bank,JAN 2016,5885.82,e-Money
Cards_Account,Bank,FEB 2016,1.88,e-Money
Cards_Account,Non-bank,FEB 2016,30.46,e-Money
Topup_Value,Bank,FEB 2016,484.13,e-Money
Topup_Value,Non-bank,FEB 2016,6414.23,e-Money
Spending_Value,Bank,FEB 2016,492.6,e-Money
Spending_Value,Non-bank,FEB 2016,6444.71,e-Money
Cards_Account,Bank,MAR 2016,1.91,e-Money
Cards_Account,Non-bank,MAR 2016,30.95,e-Money
Topup_Value,Bank,MAR 2016,519.68,e-Money
Topup_Value,Non-bank,MAR 2016,7146.66,e-Money
Spending_Value,Bank,MAR 2016,531.0,e-Money
Spending_Value,Non-bank,MAR 2016,7115.34,e-Money
Cards_Account,Bank,APR 2016,1.9,e-Money
Cards_Account,Non-bank,APR 2016,31.27,e-Money
Topup_Value,Bank,APR 2016,425.81,e-Money
Topup_Value,Non-bank,APR 2016,6747.47,e-Money
Spending_Value,Bank,APR 2016,451.47,e-Money
Spending_Value,Non-bank,APR 2016,6656.75,e-Money
Cards_Account,Bank,MAY 2016,1.9,e-Money
Cards_Account,Non-bank,MAY 2016,32.66,e-Money
Topup_Value,Bank,MAY 2016,425.36,e-Money
Topup_Value,Non-bank,MAY 2016,6998.92,e-Money
Spending_Value,Bank,MAY 2016,441.1,e-Money
Spending_Value,Non-bank,MAY 2016,7066.39,e-Money
Cards_Account,Bank,JUN 2016,1.89,e-Money
Cards_Account,Non-bank,JUN 2016,32.08,e-Money
Topup_Value,Bank,JUN 2016,463.05,e-Money
Topup_Value,Non-bank,JUN 2016,6663.95,e-Money
Spending_Value,Bank,JUN 2016,470.06,e-Money
Spending_Value,Non-bank,JUN 2016,6546.81,e-Money
Cards_Account,Bank,JUL 2016,2.2,e-Money
Cards_Account,Non-bank,JUL 2016,33.06,e-Money
Topup_Value,Bank,JUL 2016,439.43,e-Money
Topup_Value,Non-bank,JUL 2016,6689.13,e-Money
Spending_Value,Bank,JUL 2016,430.4,e-Money
Spending_Value,Non-bank,JUL 2016,6768.3,e-Money
Cards_Account,Bank,AUG 2016,2.21,e-Money
Cards_Account,Non-bank,AUG 2016,34.14,e-Money
Topup_Value,Bank,AUG 2016,474.05,e-Money
Topup_Value,Non-bank,AUG 2016,7243.07,e-Money
Spending_Value,Bank,AUG 2016,502.17,e-Money
Spending_Value,Non-bank,AUG 2016,7220.58,e-Money
Cards_Account,Bank,SEP 2016,2.19,e-Money
Cards_Account,Non-bank,SEP 2016,34.89,e-Money
Topup_Value,Bank,SEP 2016,558.27,e-Money
Topup_Value,Non-bank,SEP 2016,7110.84,e-Money
Spending_Value,Bank,SEP 2016,533.37,e-Money
Spending_Value,Non-bank,SEP 2016,6936.05,e-Money
Cards_Account,Bank,OCT 2016,2.18,e-Money
Cards_Account,Non-bank,OCT 2016,35.68,e-Money
Topup_Value,Bank,OCT 2016,559.85,e-Money
Topup_Value,Non-bank,OCT 2016,7466.3,e-Money
