MeasureName,UsageType,MonthYear,M_Value,TransType
value_m,Purchasing via online channels by debit cards,MAY 2018,1280.0,TH-Aboard
volume_k,Cash withdrawal,JUN 2018,249.0,TH-Aboard
volume_k,Cash advance,JUN 2018,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,JUN 2018,1567.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,JUN 2018,1984.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,JUN 2018,1470.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,JUN 2018,1904.0,TH-Aboard
value_m,Cash withdrawal,JUN 2018,2555.0,TH-Aboard
value_m,Cash advance,JUN 2018,77.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,JUN 2018,7430.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,JUN 2018,3371.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,JUN 2018,1620.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,JUN 2018,1264.0,TH-Aboard
