PaymentType,SystemType,ChannelType,MonthYear,M_Value,MeasureName,TransType
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,APR 2011,7846.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,APR 2011,2018.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,APR 2011,22772.0,volume_k,Transactions processed
e-Payments,e-Money,,APR 2011,26812.0,volume_k,Transactions processed
Cheque,Inhouse,,MAY 2011,3621.0,volume_k,Transactions processed
Cheque,Interbank,,MAY 2011,6814.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,MAY 2011,209.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,MAY 2011,13355.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,MAY 2011,6947.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),MAY 2011,2902.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,MAY 2011,8387.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,MAY 2011,1185.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,MAY 2011,833.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,MAY 2011,16569.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,MAY 2011,8417.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,MAY 2011,2109.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,MAY 2011,25148.0,volume_k,Transactions processed
e-Payments,e-Money,,MAY 2011,28310.0,volume_k,Transactions processed
Cheque,Inhouse,,JUN 2011,3713.0,volume_k,Transactions processed
Cheque,Interbank,,JUN 2011,6500.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,JUN 2011,221.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,JUN 2011,13506.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,JUN 2011,6999.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),JUN 2011,2208.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,JUN 2011,8408.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,JUN 2011,1244.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,JUN 2011,861.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,JUN 2011,16999.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,JUN 2011,8567.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,JUN 2011,2040.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,JUN 2011,23589.0,volume_k,Transactions processed
e-Payments,e-Money,,JUN 2011,29524.0,volume_k,Transactions processed
Cheque,Inhouse,,JUL 2011,3316.0,volume_k,Transactions processed
Cheque,Interbank,,JUL 2011,5739.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,JUL 2011,204.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,JUL 2011,14706.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,JUL 2011,6772.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),JUL 2011,2121.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,JUL 2011,8072.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,JUL 2011,1296.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,JUL 2011,783.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,JUL 2011,17346.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,JUL 2011,8567.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,JUL 2011,2159.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,JUL 2011,24551.0,volume_k,Transactions processed
e-Payments,e-Money,,JUL 2011,30385.0,volume_k,Transactions processed
Cheque,Inhouse,,AUG 2011,3746.0,volume_k,Transactions processed
Cheque,Interbank,,AUG 2011,6850.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,AUG 2011,231.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,AUG 2011,15316.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,AUG 2011,7403.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),AUG 2011,2503.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,AUG 2011,9456.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,AUG 2011,1406.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,AUG 2011,906.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,AUG 2011,17929.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,AUG 2011,9188.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,AUG 2011,2191.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,AUG 2011,25907.0,volume_k,Transactions processed
e-Payments,e-Money,,AUG 2011,30901.0,volume_k,Transactions processed
Cheque,Inhouse,,SEP 2011,4313.0,volume_k,Transactions processed
Cheque,Interbank,,SEP 2011,6415.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,SEP 2011,225.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,SEP 2011,15924.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,SEP 2011,7215.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),SEP 2011,2940.0,volume_k,Transactions processed
